Geo Point;Geo Shape;FID;NCESID;NAME;ADDRESS;ADDRESS2;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;NAICS_CODE;NAICS_DESC;SOURCE;SOURCE_DAT;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL;ENROLLMENT;START GRAD;END GRADE;DISTRICT_I;FULL_TIME_;SHELTER_ID
44.262898421,-72.402469533;"{""type"": ""Point"", ""coordinates"": [-72.40246953299997, 44.26289842100002]}";19538;A9304136;MAPLEHILL SCHOOL;1350 EAST HILL ROAD;;PLAINFIELD;VT;05667;;;4;1;21;WASHINGTON;50023;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9304136;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Secondary;14;07;12;;7;
44.562444897,-72.593887588;"{""type"": ""Point"", ""coordinates"": [-72.59388758799996, 44.56244489700001]}";19469;A0503527;AUGMENTATIVE LEARNING/MOVEMENT CENTER;72 ETHAN ALLEN DR;;SOUTH BURLINGTON;VT;05403;5621;;4;1;17;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0503527;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Combined elementary and secondary;14;02;12;;3;
43.19056544,-73.04340139;"{""type"": ""Point"", ""coordinates"": [-73.04340138999997, 43.19056544000004]}";18805;A0109597;MANCHESTER VILLAGE SCHOOL;4002 MAIN ST;;MANCHESTER;VT;05254;;;4;1;10;BENNINGTON;50003;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0109597;2010-01-28T19:00:00-05:00;Imagery;2010-05-16T20:00:00-04:00;;Secondary;7;08;12;;3;
44.036575134,-73.163416344;"{""type"": ""Point"", ""coordinates"": [-73.16341634399997, 44.03657513400002]}";18790;02063069;BRIDGE SCHOOL;1469 EXCHANGE ST;;MIDDLEBURY;VT;05753;;;1;1;51;ADDISON;50001;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02063069;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;46;UG;UG;;5;
43.987635993,-72.446083068;"{""type"": ""Point"", ""coordinates"": [-72.44608306799992, 43.98763599300001]}";19493;A9504243;WELLSPRING SCHOOL;3 COURT ST;;CHELSEA;VT;05038;;;3;1;81;ORANGE;50017;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504243;2010-01-28T19:00:00-05:00;Imagery/Other;2010-08-23T20:00:00-04:00;;Elementary;73;PK;08;;8;
43.939960608,-72.60608813;"{""type"": ""Point"", ""coordinates"": [-72.60608812999997, 43.93996060800003]}";22556;A0903667;VT ACADEMY OF SCIENCE & TECH;1 MAIN ST;;RANDOLPH CENTER;VT;05061;;;3;1;48;ORANGE;50017;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0903667;2012-03-06T19:00:00-05:00;Geocode;2012-06-17T20:00:00-04:00;;Secondary;41;12;12;;7;
44.40715748,-73.126097298;"{""type"": ""Point"", ""coordinates"": [-73.12609729799992, 44.40715748000007]}";19359;AA001641;BROWNELL MOUNTAIN SCHOOL;5330 ST GEORGE RD;;WILLISTON;VT;05495;7667;;1;1;8;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA001641;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;7;04;08;;1;
43.695023769,-72.320419401;"{""type"": ""Point"", ""coordinates"": [-72.32041940099997, 43.69502376900003]}";19592;A0503530;WILLOW SCHOOL;2830 CHRISTIAN ST;;WHITE RIVER JUNCTION;VT;05001;;;3;1;20;WINDSOR;50027;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0503530;2010-01-28T19:00:00-05:00;Geocode;2010-06-09T20:00:00-04:00;;Elementary;18;KG;04;;2;
44.896187,-73.085877;"{""type"": ""Point"", ""coordinates"": [-73.085877, 44.896187]}";21052;A0903664;MUNCHKINLAND MONTESSORI;38 WOODS HILL RD;;SWANTON;VT;05488;9450;;2;1;8;FRANKLIN;50011;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0903664;2012-03-06T19:00:00-05:00;Imagery;2012-06-17T20:00:00-04:00;;Elementary;6;PK;01;;2;
42.853666129,-72.563290481;"{""type"": ""Point"", ""coordinates"": [-72.56329048099994, 42.85366612900001]}";19569;A0303183;COMMUNITY SCHOOLHOUSE;24 OAK ST;;BRATTLEBORO;VT;05301;6084;;4;1;25;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303183;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Combined elementary and secondary;21;UG;UG;;4;
44.496624616,-73.18856892;"{""type"": ""Point"", ""coordinates"": [-73.18856891999995, 44.49662461600006]}";19434;01421913;ST FRANCIS XAVIER SCHOOL;5 SAINT PETER ST;;WINOOSKI;VT;05404;1316;;1;1;220;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01421913;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Elementary;199;PK;08;;21;
44.53845523,-72.015449155;"{""type"": ""Point"", ""coordinates"": [-72.01544915499993, 44.538455230000054]}";19317;01422291;LYNDON INSTITUTE;COLLEGE RD & INSTITUTE CIR;;LYNDON CENTER;VT;05850;;;1;1;639;CALEDONIA;50005;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422291;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Secondary;589;08;12;;50;
44.450308614,-73.119166967;"{""type"": ""Point"", ""coordinates"": [-73.11916696699994, 44.450308614000036]}";19348;A0109602;JEAN GARVIN SCHOOL;90 HARVEST LN;;WILLISTON;VT;05495;8928;;4;1;26;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0109602;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Secondary;22;08;11;;4;
44.463774639,-73.209374119;"{""type"": ""Point"", ""coordinates"": [-73.20937411899995, 44.46377463900004]}";19416;01422032;CHRIST THE KING SCHOOL;136 LOCUST ST;;BURLINGTON;VT;05401;;;1;1;215;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422032;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Elementary;201;PK;08;;14;
44.447148298,-73.213789211;"{""type"": ""Point"", ""coordinates"": [-73.21378921099993, 44.44714829800004]}";19374;A0702325;THE BAIRD SCHOOL;1138 PINE ST;;BURLINGTON;VT;05401;5353;;4;1;48;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702325;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;36;01;08;;12;
44.222708918,-72.538318591;"{""type"": ""Point"", ""coordinates"": [-72.53831859099994, 44.222708918000066]}";19544;01422655;CENTRAL VERMONT ACADEMY;317 VINE ST - BERLIN;;BARRE;VT;05641;2292;;1;1;44;WASHINGTON;50023;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422655;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;38;KG;12;;6;
43.134939471,-72.510673378;"{""type"": ""Point"", ""coordinates"": [-72.51067337799996, 43.134939471000045]}";26791;A9300996;SAXTONS RIVER MONTESSORI SCHOOL;14 WESTMINSTER ST;;SAXTONS RIVER;VT;05154;;;2;1;6;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9300996;2014-10-22T20:00:00-04:00;Imagery/Other;2014-12-14T19:00:00-05:00;;Elementary;4;PK;TK;;2;
